"","groups","name_of_test","p_value","W","is_normal","second_test_name","t","DF_parameter","p.value","conf.int.1","conf.int.2","mean_of_x","mean","stderr"
"1","Grouped_LED - Single_LED","Shapiro-Wilk normality test","0.000000815595316976333","0.856522016078348","normal","One Sample t-test","9.34938774189374","71","0.0000000000000532684217451421","324.078150463562","499.782960647549","411.930555555556","0","44.0596290289398"
"2","Grouped_LED - Grouped_NoLed","Shapiro-Wilk normality test","0.000000311816650929077","0.843494537689667","normal","One Sample t-test","10.360894758392","71","0.000000000000000759982154774258","316.851625343305","467.870596878918","392.361111111111","0","37.8694234678247"
"3","Grouped_LED - Single_NoLed","Shapiro-Wilk normality test","0.00000031675779356671","0.843712923172542","normal","One Sample t-test","9.28883630125306","71","0.0000000000000688511409245123","288.110635196082","445.61158702614","366.861111111111","0","39.4948408189325"
"4","Single_LED - Grouped_NoLed","Shapiro-Wilk normality test","0.000000018651631722884","0.801346621090582","normal","One Sample t-test","9.16631527066625","71","0.0000000000001157879181056","230.404978902486","358.511687764181","294.458333333333","0","32.1239587160666"
"5","Single_LED - Single_NoLed","Shapiro-Wilk normality test","0.00000000531737690029736","0.780524003814555","normal","One Sample t-test","8.1563461818238","71","0.00000000000857733303709086","203.207361878503","334.709304788164","268.958333333333","0","32.9753454963326"
"6","Grouped_NoLed - Single_NoLed","Shapiro-Wilk normality test","0.000102080344120936","0.912639484344017","normal","One Sample t-test","11.1374062652144","71","0.0000000000000000308926634625408","204.74049327747","294.037284500308","249.388888888889","0","22.3920078831827"
